"","Plot_ID","Point","northing","easting","Remarks","coords.x1","coords.x2","optional"
"1","SJER1068","center",4111567.818,255852.376,NA,255852.376,4111567.818,TRUE
"2","SJER112","center",4111298.971,257406.967,NA,257406.967,4111298.971,TRUE
"3","SJER116","center",4110819.876,256838.76,NA,256838.76,4110819.876,TRUE
"4","SJER117","center",4108752.026,256176.947,NA,256176.947,4108752.026,TRUE
"5","SJER120","center",4110476.079,255968.372,NA,255968.372,4110476.079,TRUE
"6","SJER128","center",4111388.57,257078.867,NA,257078.867,4111388.57,TRUE
"7","SJER192","center",4111071.087,256683.434,NA,256683.434,4111071.087,TRUE
"8","SJER272","center",4112167.778,256717.467,NA,256717.467,4112167.778,TRUE
"9","SJER2796","center",4111533.879,256034.39,NA,256034.39,4111533.879,TRUE
"10","SJER3239","center",4109856.983,258497.102,NA,258497.102,4109856.983,TRUE
"11","SJER36","center",4110161.674,258277.829,NA,258277.829,4110161.674,TRUE
"12","SJER361","center",4107527.074,256961.794,NA,256961.794,4107527.074,TRUE
"13","SJER37","center",4107578.841,256148.197,NA,256148.197,4107578.841,TRUE
"14","SJER4","center",4109767.289,257228.336,NA,257228.336,4109767.289,TRUE
"15","SJER8","center",4110249.265,254738.618,NA,254738.618,4110249.265,TRUE
"16","SJER824","center",4110047.586,256185.584,NA,256185.584,4110047.586,TRUE
"17","SJER916","center",4109616.679,257460.486,NA,257460.486,4109616.679,TRUE
"18","SJER952","center",4110759.039,255871.194,NA,255871.194,4110759.039,TRUE
